Site Links,shop,offer,movie,product,accessory,top,care,brand,ticket,buy,gift,store,men,item,set,best,order,mobile,watch,shopping,woman,wear,detail,hair,back,sign,sale,shoe,please,bag,card,email,price,kid,beauty,collection,policy,account,day,read,review,shirt,body,valid,india,deal,cart,comment,size,dress,support,show,suit,skin,shipping,eye,bath,baby,coupon,book,privacy,customer,term,return,delivery,kitchen,cashback,fashion,login,right,phone,full,enter,sunglass,user,le,clothing,oil,password,protein,health,girl,cancel,cinema,inr,smart,code,rim,laptop,tool,need,payment,experience,saree,design,air,arrival,furniture,english,booking,latest,instagram,face,category,bank,app,style,jewellery,select,paytm,wallet,explore,close,make,sport,appliance,table,featured,fragrance,visit,quick,bed,chase,exclusive,footwear,menu,toy,lenskart,track,john,look,flat,fitness,vincent,register,number,designer,seller,priced,galaxy,outdoor,office,hindi,cream,copy,purchase,every,condition,eyewear,pvr,color,bar,link,good,kurta,black,created,food,available,camera,storage,eyeglass,jacob,art,essential,discount,short,sketch,love,special,pant,bottom,monitor,star,helpful,city,pack,range,check,pillow,address,work,event,dining,box,samsung,game,eyewearfashion,eyeweardesign,eyewearstyle,eyeweartrends,eyewearshop,lenskarteyewear,igers,instrammers,instadaily,instamood,instafashion,party,great,boy,ShoppingSite
https://www.caratlane.com/?,5,1,0,1,1,1,1,1,0,0,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,1,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,2,0,11,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
https://www.flipkart.com/,10,3,0,5,4,9,7,5,0,3,1,8,1,0,7,4,1,13,1,6,0,2,0,1,3,0,1,2,0,0,5,1,2,1,0,1,0,2,3,0,0,3,0,0,5,0,0,0,2,1,0,0,0,2,1,0,1,3,0,3,0,3,5,0,2,2,0,3,0,0,9,0,0,0,0,0,2,0,0,0,2,1,0,0,0,7,0,0,5,1,6,0,2,1,2,0,1,10,1,0,1,0,0,0,6,0,0,1,2,0,0,2,1,5,3,9,4,0,0,0,0,2,0,0,1,0,1,0,0,0,3,1,2,0,0,2,1,0,0,0,0,2,0,0,0,3,1,6,0,0,1,0,0,1,1,1,0,0,1,13,1,0,0,1,3,2,1,0,0,0,1,0,0,0,0,1,0,7,0,1,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
https://www.brika.com/,0,0,0,0,12,0,2,0,0,0,8,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
https://www.vajor.com/,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,2,11,0,0,0,0,1,0,3,3,1,1,12,1,1,4,0,0,0,0,0,4,0,0,0,1,0,7,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,6,1,0,0,8,1,0,0,1,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
https://www.lenskart.com/,65,2,0,9,3,16,0,12,0,6,2,7,4,0,2,8,0,0,0,1,3,0,0,1,1,1,3,0,0,0,0,0,1,1,1,10,0,0,0,112,56,1,0,0,2,2,1,1,64,0,0,18,1,0,0,47,0,0,0,0,0,1,0,0,0,0,0,3,0,5,5,71,0,56,0,66,0,0,0,0,0,0,0,0,63,0,0,81,0,0,4,1,1,0,2,31,0,0,0,0,4,54,0,0,0,1,17,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0,69,0,0,0,0,66,0,58,10,0,0,65,0,1,2,0,61,0,0,0,0,2,0,0,5,0,61,0,3,0,0,0,0,46,0,0,6,0,0,59,58,1,1,0,0,0,0,0,0,0,0,0,56,1,0,6,2,0,0,1,0,0,1,0,3,53,53,53,53,53,53,53,53,53,53,53,1,5,0,1,
https://store.moma.org/,1,0,0,3,11,0,0,0,0,0,16,18,0,0,5,13,12,0,2,1,0,1,0,0,1,3,14,0,2,2,14,4,0,7,0,2,4,6,2,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,11,0,0,1,0,6,2,6,3,5,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,2,5,3,0,0,12,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,0,2,6,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
https://www.biotique.com/,9,3,0,1,0,2,7,2,0,0,1,7,3,3,1,0,15,0,0,2,1,0,0,6,3,0,0,0,8,1,0,7,0,3,2,3,1,7,0,0,0,0,4,0,2,0,1,1,0,0,0,0,0,4,7,1,4,6,0,0,1,2,1,1,3,0,0,0,7,1,1,0,3,0,3,0,0,3,5,0,0,3,0,0,3,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,
https://www.amazon.in/,2,5,9,12,15,9,4,6,1,1,11,10,7,4,1,6,1,7,4,1,5,2,3,1,3,6,3,9,0,7,11,0,1,8,6,0,0,2,1,0,0,2,0,0,1,9,1,0,0,0,0,11,0,1,0,0,1,7,0,9,0,4,0,0,5,8,1,17,0,0,1,1,0,2,0,0,7,0,0,0,4,0,0,0,0,6,0,0,1,1,1,0,1,0,0,1,0,3,1,0,2,0,0,2,1,2,0,4,1,0,2,3,0,1,7,7,0,3,0,0,1,1,0,1,1,0,9,0,0,0,3,0,6,0,0,0,3,4,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
https://www.hometown.in/,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
https://www.youshine.in/,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
